# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      57       0        5.2477108900
      56       0        5.0422354100
      55       0        4.4410758400
      54       0        3.7326359400
      53       0        3.6665945900
      52       0        3.3716691800
      51       0        3.3716691800
      50       0        3.2440857300
      49       0        2.4850798800
      48       0        2.4850798800
      47       0        2.4046416600
      46       0        2.3497074100
      45       0        2.3497074100
      44       0        2.0052505400
      43       0        2.0052505400
      42       0        1.7008516700
      41       0        1.7008516700
      40       0        1.6883192300
      39       0        1.6273859200
      38       0        1.6273859200
      37       0        1.6038827000
      36       0        1.5052502800
      35       0        1.5052502800
      34       0        1.3839817500
      33       0        1.3839817500
      32       0        1.3558200900
      31       0        1.2298172400
      30       0        1.2185436400
      29       0        0.8835231800
      28       0        0.8642354730
      27       0        0.8642354730
      26       0        0.5343855710
      25       0        0.3909019320
      24       0        0.3511409950
      23       0        0.3511409950
      22       0        0.3255390450
      21       0        0.2843229560
      20       0        0.2806077120
      19       0        0.2806077120
      18       0        0.2444705320
      17       0        0.2212474080
      16       0        0.2212474080
      15       0        0.1014517850
      14       0        0.0953602440
      13       0        0.0953602440
      12       0        0.0569202722
      11       2       -0.5474296940
      10       2       -0.5474296940
       9       2       -0.7262014760
       8       2       -0.7262014760
       7       2       -0.7466764820
       6       2       -0.7997677700
       5       2       -1.4953985800
       4       2       -1.5503024200
       3       2      -11.4690466000
       2       2      -20.6672092000
       1       2      -20.6672353000
