# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      85       0        4.7055361200
      84       0        4.5586718000
      83       0        4.4259071800
      82       0        4.2269642200
      81       0        4.1504008500
      80       0        3.3890080200
      79       0        3.3088695900
      78       0        3.1154190200
      77       0        3.0130288200
      76       0        2.9948078200
      75       0        2.9576172300
      74       0        2.8429313800
      73       0        2.7141915400
      72       0        2.7029346600
      71       0        2.6864106400
      70       0        2.5694701700
      69       0        2.5162537200
      68       0        2.4297479300
      67       0        2.3719161400
      66       0        2.3049921800
      65       0        2.2661926200
      64       0        2.2126163200
      63       0        2.1628361000
      62       0        2.0804826100
      61       0        2.0434791900
      60       0        2.0127329700
      59       0        1.8831308900
      58       0        1.8582957800
      57       0        1.7582245800
      56       0        1.7318076800
      55       0        1.7210139300
      54       0        1.6667759300
      53       0        1.5298218400
      52       0        1.4575070300
      51       0        1.4012544100
      50       0        1.3389009100
      49       0        1.2856131700
      48       0        1.2595387900
      47       0        1.2306521700
      46       0        1.2230056600
      45       0        1.2040304900
      44       0        1.1977269100
      43       0        1.1433001000
      42       0        1.1169570500
      41       0        1.0984083300
      40       0        1.0632966000
      39       0        1.0371540000
      38       0        0.9862338590
      37       0        0.9776034540
      36       0        0.9259157110
      35       0        0.8907745660
      34       0        0.8260347220
      33       0        0.8032495120
      32       0        0.7427739510
      31       0        0.7079147530
      30       0        0.5232782720
      29       0        0.4875784610
      28       0        0.4207704910
      27       0        0.3216819910
      26       0        0.3201927070
      25       0        0.2783977950
      24       0        0.2591723620
      23       0        0.2267723850
      22       0        0.1998898310
      21       0        0.1799080490
      20       2       -0.3899892820
      19       2       -0.4150341260
      18       2       -0.4873655810
      17       2       -0.5380574290
      16       2       -0.5798828850
      15       1       -0.6201140830
      14       1       -0.6432121930
      13       1       -0.6479213720
      12       1       -0.6888562870
      11       1       -0.7050230270
      10       1       -0.8371941710
       9       1       -0.9089092080
       8       1       -1.1928535200
       7       1       -1.3728724300
       6       1       -1.4781960100
       5       1      -11.3088559000
       4       1      -11.4055995000
       3       1      -15.5541797000
       2       1      -20.5660124000
       1       1      -20.6235945000
