# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      85       0        4.6067447500
      84       0        4.4759593600
      83       0        4.2540077300
      82       0        4.1743045900
      81       0        4.1502740900
      80       0        3.3836582400
      79       0        3.2836912900
      78       0        3.1044550200
      77       0        3.0091662100
      76       0        2.9812055100
      75       0        2.9202076200
      74       0        2.8043671900
      73       0        2.7112243900
      72       0        2.7078242700
      71       0        2.6668026700
      70       0        2.5426962900
      69       0        2.4563455600
      68       0        2.4271020500
      67       0        2.3386092200
      66       0        2.2384446500
      65       0        2.2010471900
      64       0        2.1575263300
      63       0        2.1270122000
      62       0        2.0893212700
      61       0        2.0491830300
      60       0        1.8644138600
      59       0        1.7797035800
      58       0        1.7756404000
      57       0        1.7713005500
      56       0        1.7399808200
      55       0        1.6787228600
      54       0        1.5928955600
      53       0        1.5308682400
      52       0        1.4058709900
      51       0        1.3410575800
      50       0        1.3036654300
      49       0        1.2545137900
      48       0        1.2238752700
      47       0        1.2054937700
      46       0        1.2007063800
      45       0        1.1668069400
      44       0        1.1509661600
      43       0        1.1118886400
      42       0        1.0830842000
      41       0        1.0709713400
      40       0        1.0273445000
      39       0        0.9991025710
      38       0        0.9857087090
      37       0        0.9648357830
      36       0        0.8855090270
      35       0        0.8259785110
      34       0        0.8064527150
      33       0        0.7391430160
      32       0        0.7286368600
      31       0        0.7020615690
      30       0        0.5179500340
      29       0        0.4909831310
      28       0        0.4035145650
      27       0        0.3072244780
      26       0        0.3008848720
      25       0        0.2648306410
      24       0        0.2513658770
      23       0        0.2183367540
      22       0        0.2108991540
      21       0        0.0062819436
      20       2       -0.2918536950
      19       2       -0.4242558620
      18       2       -0.4819720070
      17       2       -0.5144296390
      16       2       -0.6020661120
      15       2       -0.6195568320
      14       2       -0.6436451710
      13       2       -0.6517578800
      12       2       -0.6872607880
      11       2       -0.6964114670
      10       2       -0.8303392400
       9       2       -0.9051119500
       8       2       -1.2122690500
       7       2       -1.3633981900
       6       2       -1.4672502100
       5       2      -11.3496229000
       4       2      -11.3902487000
       3       2      -15.5761516000
       2       2      -20.5654679000
       1       2      -20.6159786000
