# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      85       0        4.9092120900
      84       0        4.6466293300
      83       0        4.5318899300
      82       0        4.2813569800
      81       0        4.1862371100
      80       0        3.4914189100
      79       0        3.3806797100
      78       0        3.2730967700
      77       0        3.1090109700
      76       0        3.0292775400
      75       0        2.9784339300
      74       0        2.8953095200
      73       0        2.8116408000
      72       0        2.7476385500
      71       0        2.7003895800
      70       0        2.6709758800
      69       0        2.5171404400
      68       0        2.4409165600
      67       0        2.3770300500
      66       0        2.3578724600
      65       0        2.2702385000
      64       0        2.2390822600
      63       0        2.1729482500
      62       0        2.1095638700
      61       0        2.0816237100
      60       0        2.0627340000
      59       0        2.0278544900
      58       0        1.9811377300
      57       0        1.8237325800
      56       0        1.8089066900
      55       0        1.7137808300
      54       0        1.6674811600
      53       0        1.6214650100
      52       0        1.5198894800
      51       0        1.4019947400
      50       0        1.3529562500
      49       0        1.2846797000
      48       0        1.2548791100
      47       0        1.2419694000
      46       0        1.2268674900
      45       0        1.2097309500
      44       0        1.1914456400
      43       0        1.1826614900
      42       0        1.1248877400
      41       0        1.0977292900
      40       0        1.0687231600
      39       0        1.0545777600
      38       0        0.9967404030
      37       0        0.9636822480
      36       0        0.9379655190
      35       0        0.8872050020
      34       0        0.8387146280
      33       0        0.7901676060
      32       0        0.7708863210
      31       0        0.7527624540
      30       0        0.5434590110
      29       0        0.4928532130
      28       0        0.4480368020
      27       0        0.4075049720
      26       0        0.3292702590
      25       0        0.3183929260
      24       0        0.2814546110
      23       0        0.2348533520
      22       0        0.2284597560
      21       0        0.1905515270
      20       2       -0.3974053610
      19       2       -0.4537756820
      18       2       -0.4850593950
      17       2       -0.5613054490
      16       2       -0.5746829280
      15       2       -0.6032995800
      14       2       -0.6335348920
      13       2       -0.6707989560
      12       2       -0.7063052890
      11       2       -0.7214043870
      10       2       -0.8203294820
       9       2       -0.9808040150
       8       2       -1.1950128700
       7       2       -1.3739882500
       6       2       -1.4823799600
       5       2      -11.2715871000
       4       2      -11.3869695000
       3       2      -15.5463868000
       2       2      -20.5578946000
       1       2      -20.6204310000
